GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
,com.datashare.backend.service,FileService,66,286,6,16,23,92,9,13,3,8
,com.datashare.backend.service,AuthService,0,87,0,4,0,25,0,6,0,4
,com.datashare.backend.entity,User,3,25,0,0,1,11,1,6,1,6
,com.datashare.backend.entity,StoredFile,3,54,0,0,1,20,1,10,1,10
,com.datashare.backend.security,JwtService,3,54,0,0,2,24,0,4,0,4
,com.datashare.backend.security,SecurityConfig,0,96,0,0,0,25,0,7,0,7
,com.datashare.backend.security,JwtAuthenticationFilter,0,45,2,4,0,16,2,3,0,2
,com.datashare.backend,BackendApplication,5,3,0,0,2,1,1,1,1,1
,com.datashare.backend.dto,AuthResponse,0,9,0,0,0,4,0,2,0,2
,com.datashare.backend.dto,RegisterRequest,0,17,0,0,0,7,0,5,0,5
,com.datashare.backend.dto,DownloadInfoResponse,27,0,0,0,10,0,5,0,5,0
,com.datashare.backend.dto,UploadResponse,0,33,0,0,0,12,0,6,0,6
,com.datashare.backend.dto,FileHistoryResponse,45,0,0,0,16,0,8,0,8,0
,com.datashare.backend.dto,LoginRequest,0,17,0,0,0,7,0,5,0,5
,com.datashare.backend.controller,AuthController,0,27,0,0,0,10,0,3,0,3
,com.datashare.backend.controller,DownloadController,23,58,1,1,10,24,2,2,1,2
,com.datashare.backend.controller,FileController,11,32,0,0,4,11,1,3,1,3
